model,region,n,n_mal,roc_auc,f1@0.5,fnr@0.5,fpr@0.5,tpr@0.01,tpr@0.001,novel_tpr@0.01,singleton_tpr@0.01,known_tpr@0.01,lowcons_tpr@0.01,n_novel,n_single,fpr_at_iid_thr
gtformer_tuned_s2,NEAR,208337,66493,0.827701768914401,0.6855731012998174,0.42411983216278404,0.04880714023857195,0.25128960943257184,0.11381649196155987,0.12446351931330472,0.103725542749933,0.30900263852242743,0.07659369737791677,4194.0,14924.0,
gtformer_tuned_s2,FAR,612430,213274,0.8796409568012883,0.4974819476602381,0.6604930746363833,0.013568629808896773,0.28326472050038914,0.08347009011881429,0.19197544398158298,0.18602637335926106,0.5362880603865966,0.13298065077179505,22805.0,131648.0,
gtformer_tuned_s2,year2013,9489,4729,0.9944822621372508,0.9659280936454849,,,0.919221822795517,,,,,,,,0.010294117647058823
gtformer_tuned_s2,year2014,5797,2252,0.9945985013791221,0.9671299360247076,,,0.8823268206039077,,,,,,,,0.00930888575458392
gtformer_tuned_s2,year2016,109193,45134,0.9398559731127247,0.8352225469927046,,,0.5438028980369566,,,,,,,,0.025211133486317303
gtformer_tuned_s2,year2017,99144,21359,0.6037337265881024,0.2283453132941262,,,0.07041528161430778,,,,,,,,0.018345439352060167
gtformer_tuned_s2,year2018,104292,39350,0.6519502396762832,0.25632242239702274,,,0.0857433290978399,,,,,,,,0.01116380770533707
gtformer_tuned_s2,year2019,91050,41585,0.9348645811372014,0.6644058304683975,,,0.3433690032463629,,,,,,,,0.009602749418780957
gtformer_tuned_s2,year2020,102073,46355,0.9232629047760885,0.571256038647343,,,0.21833674900226513,,,,,,,,0.006173947377867117
gtformer_tuned_s2,year2021,81155,35627,0.9056019430553466,0.3526272577996716,,,0.07292222191034889,,,,,,,,0.0036241433842909856
gtformer_tuned_s2,year2022,86416,41648,0.9394477409760915,0.5704263724288244,,,0.2072128313484441,,,,,,,,0.0019433523945675483
gtformer_tuned_s2,year2023,54354,7892,0.8560328516370861,0.3165557404326123,,,0.09883426254434871,,,,,,,,0.0011407171451939218
gtformer_tuned_s2,year2024,48427,794,0.7699331041848566,0.13877551020408163,,,0.031486146095717885,,,,,,,,0.0005248462200575231
gtformer_tuned_s2,year2025,44663,23,0.5869102579086801,0.018018018018018018,,,0.043478260869565216,,,,,,,,0.0005152329749103943
gtformer_tuned_s3,IID,15286,6981,0.9951305086197239,0.9700113700966458,0.022346368715083775,0.03202889825406382,0.9210714797306976,0.6102277610657499,0.07692307692307693,0.7875,0.9308769792935444,0.8710112359550561,13.0,400.0,
gtformer_tuned_s3,NEAR,208337,66493,0.8126703692493469,0.6699044872950081,0.4409486712887071,0.05156368968726206,0.24282255274991352,0.11787706976674237,0.11802575107296137,0.11444652908067542,0.294311345646438,0.08198219870098629,4194.0,14924.0,
gtformer_tuned_s3,FAR,612430,213274,0.8597716618651622,0.43643480213743613,0.7129748586325572,0.015116896651935585,0.2384960192053415,0.09562815908174462,0.18868669151501863,0.12011576324744774,0.5227554784855749,0.10594970650047104,22805.0,131648.0,
gtformer_tuned_s3,year2013,9489,4729,0.9950037849777255,0.9701726844583988,,,0.9297948826390358,,,,,,,,0.010294117647058823
gtformer_tuned_s3,year2014,5797,2252,0.995072989500635,0.9696701350453841,,,0.9027531083481349,,,,,,,,0.00930888575458392
gtformer_tuned_s3,year2016,109193,45134,0.9360365147908674,0.8198081910851077,,,0.5357601807949661,,,,,,,,0.030471908709158745
gtformer_tuned_s3,year2017,99144,21359,0.5552398506204804,0.22745237671354815,,,0.09382461725736224,,,,,,,,0.023577810631869898
gtformer_tuned_s3,year2018,104292,39350,0.6219702424726401,0.25275667984851335,,,0.10886912325285895,,,,,,,,0.017631116996704752
gtformer_tuned_s3,year2019,91050,41585,0.9189087020952252,0.613530301567378,,,0.3374534086810148,,,,,,,,0.013221469726068937
gtformer_tuned_s3,year2020,102073,46355,0.9071670136875725,0.4885313412823828,,,0.22575773918671124,,,,,,,,0.006066262249183388
gtformer_tuned_s3,year2021,81155,35627,0.8867858313245247,0.2764080309027612,,,0.08597412075111573,,,,,,,,0.0033825338253382535
gtformer_tuned_s3,year2022,86416,41648,0.9273241250893839,0.4899980194097841,,,0.21463215520553208,,,,,,,,0.0017423159399571123
gtformer_tuned_s3,year2023,54354,7892,0.8443448098553494,0.28832271762208067,,,0.11137861125190066,,,,,,,,0.001119194180190263
gtformer_tuned_s3,year2024,48427,794,0.7559459392000158,0.1016949152542373,,,0.02644836272040302,,,,,,,,0.0006298154640690278
gtformer_tuned_s3,year2025,44663,23,0.5856377590774505,0.0,,,0.0,,,,,,,,0.0004032258064516129
gtformer_tuned_s4,IID,15286,6981,0.9950182576065887,0.9698053806525472,0.029222174473571116,0.026249247441300423,0.9372582724538032,0.6589313851883685,0.07692307692307693,0.835,0.9451887941534713,0.8970786516853932,13.0,400.0,
gtformer_tuned_s4,NEAR,208337,66493,0.7957182404461584,0.652349405098607,0.48835215736994875,0.02671244465751107,0.32135713533755433,0.12488532627494624,0.12970910824988077,0.14145001340123292,0.3949973614775726,0.09550156362761607,4194.0,14924.0,
gtformer_tuned_s4,FAR,612430,213274,0.8806329654061683,0.4169156971935822,0.7340885433761265,0.0051834370521801,0.36436227575794516,0.11386760692817689,0.2909449682087262,0.27329697374817696,0.5966406555481886,0.2013672488344566,22805.0,131648.0,
gtformer_tuned_s4,year2013,9489,4729,0.9949597157535037,0.9711153278515707,,,0.9420596320575174,,,,,,,,0.010924369747899159
gtformer_tuned_s4,year2014,5797,2252,0.9948593571111841,0.9670378619153674,,,0.9271758436944938,,,,,,,,0.00846262341325811
gtformer_tuned_s4,year2016,109193,45134,0.935466515543631,0.8116947719245884,,,0.5551247396641114,,,,,,,,0.024539877300613498
gtformer_tuned_s4,year2017,99144,21359,0.49123409596566037,0.11602695575739819,,,0.04452455639308956,,,,,,,,0.0077907051488076105
gtformer_tuned_s4,year2018,104292,39350,0.5369626810387781,0.2009588672820145,,,0.08447268106734435,,,,,,,,0.005481814542206892
gtformer_tuned_s4,year2019,91050,41585,0.9440467347133505,0.6090214395352291,,,0.35192978237345196,,,,,,,,0.0063883554028100675
gtformer_tuned_s4,year2020,102073,46355,0.9437376130208431,0.4786165982137036,,,0.22282385934634882,,,,,,,,0.0029972360816971177
gtformer_tuned_s4,year2021,81155,35627,0.9393934042327124,0.227649518719224,,,0.07640272826788672,,,,,,,,0.0021085925144965737
gtformer_tuned_s4,year2022,86416,41648,0.9585058635396607,0.4850277666872346,,,0.21679312331924702,,,,,,,,0.0008711579699785561
gtformer_tuned_s4,year2023,54354,7892,0.8858329470908358,0.24430687596727835,,,0.10593005575266093,,,,,,,,0.0005595970900951316
gtformer_tuned_s4,year2024,48427,794,0.8025983430935341,0.0608187134502924,,,0.018891687657430732,,,,,,,,0.000293913883232213
gtformer_tuned_s4,year2025,44663,23,0.6440509583917718,0.0,,,0.0,,,,,,,,0.00022401433691756272
lgbm_plain,IID,15286,6981,0.9962600559995951,0.9747251178066543,0.022203122761781935,0.023961468994581576,0.9363987967339923,0.6824237215298667,0.15384615384615385,0.79,0.946863580998782,0.8957303370786517,13.0,400.0,
lgbm_plain,NEAR,208337,66493,0.8296331888310059,0.7308232056867691,0.40085422525679393,0.01898564620287076,0.5213029943001519,0.2678327041944265,0.30972818311874106,0.3056821227552935,0.6079577836411609,0.28510945393312487,4194.0,14924.0,
lgbm_plain,FAR,612430,213274,0.885536847363408,0.5869034478280631,0.5761836885883886,0.010915531772039003,0.40527209130039293,0.12868422780085711,0.29497917123437845,0.34595284394749637,0.5807959742268918,0.26331618233205306,22805.0,131648.0,
lgbm_plain,year2013,9489,4729,0.9958713534049697,0.9736842105263158,,,0.9397335588919433,,,,,,,,0.01134453781512605
lgbm_plain,year2014,5797,2252,0.9967530507281414,0.9769196626719929,,,0.9293960923623446,,,,,,,,0.007898448519040903
lgbm_plain,year2016,109193,45134,0.9623906729830096,0.8569278935999806,,,0.601763637169318,,,,,,,,0.009210259292214988
lgbm_plain,year2017,99144,21359,0.537807039800111,0.34043352492580486,,,0.10534201039374502,,,,,,,,0.002391206530822138
lgbm_plain,year2018,104292,39350,0.57069191072147,0.27790105454468605,,,0.09712833545108004,,,,,,,,0.00688306488866989
lgbm_plain,year2019,91050,41585,0.9436331128551028,0.7230565436766041,,,0.3715281952627149,,,,,,,,0.008773880521580915
lgbm_plain,year2020,102073,46355,0.9449396520931335,0.6804613771408599,,,0.2705209793981232,,,,,,,,0.004468932840374744
lgbm_plain,year2021,81155,35627,0.9324555572983964,0.5168382050226431,,,0.12117214472169983,,,,,,,,0.002701634159198735
lgbm_plain,year2022,86416,41648,0.9649845192833666,0.6591226017406915,,,0.2517047637341529,,,,,,,,0.0009381701215153681
lgbm_plain,year2023,54354,7892,0.8759163868699398,0.40080040020010005,,,0.12062848454130766,,,,,,,,0.0006456889501097671
lgbm_plain,year2024,48427,794,0.7688576189242043,0.15037593984962405,,,0.020151133501259445,,,,,,,,0.00020993848802300925
lgbm_plain,year2025,44663,23,0.5983082047685835,0.02127659574468085,,,0.0,,,,,,,,0.00026881720430107527
lgbm_plain_s1,IID,15286,6981,0.9962600559995951,0.9747251178066543,0.022203122761781935,0.023961468994581576,0.9363987967339923,0.6824237215298667,0.15384615384615385,0.79,0.946863580998782,0.8957303370786517,13.0,400.0,
lgbm_plain_s1,NEAR,208337,66493,0.8296331888310059,0.7308232056867691,0.40085422525679393,0.01898564620287076,0.5213029943001519,0.2678327041944265,0.30972818311874106,0.3056821227552935,0.6079577836411609,0.28510945393312487,4194.0,14924.0,
lgbm_plain_s1,FAR,612430,213274,0.885536847363408,0.5869034478280631,0.5761836885883886,0.010915531772039003,0.40527209130039293,0.12868422780085711,0.29497917123437845,0.34595284394749637,0.5807959742268918,0.26331618233205306,22805.0,131648.0,
lgbm_plain_s1,year2013,9489,4729,0.9958713534049697,0.9736842105263158,,,0.9397335588919433,,,,,,,,0.01134453781512605
lgbm_plain_s1,year2014,5797,2252,0.9967530507281414,0.9769196626719929,,,0.9293960923623446,,,,,,,,0.007898448519040903
