model,region,metric,n,lgbm,model_value,diff,ci_lo,ci_hi
ens_gttuned_mlp_lgbm,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.4363833859990277,0.09043054205153134,0.08813597623966941,0.09264117191298006
ens_mlp_lgbm,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.4843968538041598,-0.03690614049599211,-0.039297369647932845,-0.03454498969816372
ens_mlp_lgbm,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.2761087267525036,-0.03361945636623748,-0.04387815927515499,-0.023366714353838802
ens_mlp_lgbm,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.23492361297239345,-0.07075850978290005,-0.07632002144197267,-0.06512999195926025
ens_mlp_lgbm,FAR,tpr@1%FPR,213274,0.40527209130039293,0.5436105666888603,0.13833847538846739,0.13664499657717305,0.13993806089818736
ens_mlp_lgbm,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.3586055689541767,0.06362639771979828,0.05888949791712343,0.06853760140320109
ens_mlp_lgbm,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.5325717063684978,0.18661886242100145,0.18432467640982012,0.18887506836412257
ens_gt_mlp_lgbm,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.4654775690674206,-0.05582542523273132,-0.05827681109289701,-0.05332892184139687
ens_gt_mlp_lgbm,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.24821173104434907,-0.06151645207439199,-0.07248450166905102,-0.05126371006199332
ens_gt_mlp_lgbm,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.20168855534709193,-0.10399356740820156,-0.1096220852318413,-0.09849906191369609
ens_gt_mlp_lgbm,FAR,tpr@1%FPR,213274,0.40527209130039293,0.49164455114078603,0.0863724598403931,0.08471203709781785,0.08803311702317208
ens_gt_mlp_lgbm,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.3392238544178908,0.04424468318351238,0.039245779434334604,0.049550537162902863
ens_gt_mlp_lgbm,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.4557456246961595,0.10979278074866311,0.10758234078755474,0.11196543054205156
