format,group,feature,index,mean_abs_shap,mean_shap
Win32,challenge,datadirectories[8],2413,0.33726585335504017,0.08715653957285835
Win32,challenge,authenticode[5],2477,0.3340001191288648,-0.27218030705046886
Win32,challenge,section[223],993,0.31851501022391476,0.018086650523789397
Win32,challenge,section[221],991,0.24047131410928554,0.16958158277430374
Win32,challenge,general[0],0,0.2321876578695433,-0.21752894826573704
Win32,challenge,datadirectories[10],2415,0.227007358060831,-0.1858063777739218
Win32,challenge,section[152],922,0.2115845250019453,-0.20539742001874592
Win32,challenge,header[26],722,0.1838476190701887,0.15018284177689895
Win32,challenge,datadirectories[12],2417,0.17631888962020661,0.04029707864169473
Win32,challenge,section[3],773,0.17357196343144185,-0.14158523288703664
Win32,challenge,header[24],720,0.17147438830784903,0.17012245060678963
Win64,benign,header[43],739,0.9697361948052861,-0.6556193573757257
Win64,benign,datadirectories[0],2405,0.9086889065345916,-0.562623675477076
Win64,benign,authenticode[6],2478,0.899895669251964,-0.5195317222868959
Win64,benign,datadirectories[8],2413,0.40543475321076966,-0.24766951286157962
Win64,benign,pefilewarnings[67],2547,0.3989507054485026,-0.3653859235779339
Win64,benign,authenticode[7],2479,0.350646268866336,-0.2617395641549515
Win64,benign,authenticode[5],2477,0.29441517273624224,-0.26840308397243245
Win64,benign,datadirectories[12],2417,0.2517223970575126,-0.16745702266895315
Win64,benign,section[66],836,0.23218972508755792,-0.2273759679833118
Win64,benign,header[10],706,0.21101428757954954,-0.007772330849919894
Win64,benign,datadirectories[4],2409,0.20516190827545533,-0.06707695657584099
Win64,benign,strings[84],603,0.19174228218701692,-0.14389422820347858
Win64,benign,header[28],724,0.17662415672134799,0.004708130995165533
Win64,benign,exports[0],2276,0.16484004256298093,-0.10652888738882145
Win64,benign,section[5],775,0.15852633638988325,-0.08216488690420548
Win64,malware,pefilewarnings[67],2547,0.8214537152756939,0.4904201680411044
Win64,malware,header[43],739,0.7807706800385814,0.6706307936083923
Win64,malware,datadirectories[0],2405,0.7727173137248916,0.6274785587461928
Win64,malware,authenticode[6],2478,0.4248215497538091,0.36974351852054343
Win64,malware,section[3],773,0.37554736264233723,0.2258670920511471
Win64,malware,header[10],706,0.3692612359262947,0.03699203674805928
Win64,malware,section[5],775,0.3207449061173955,0.21621090840877022
Win64,malware,datadirectories[4],2409,0.2909670249305918,0.1559396158759459
Win64,malware,header[28],724,0.2787434615686908,0.22240408510027238
Win64,malware,datadirectories[8],2413,0.2781379685573644,0.2152459652262331
Win64,malware,section[66],836,0.2729604865404407,0.024131260704838866
Win64,malware,histogram[0],7,0.26902802067171033,0.2028428514276498
Win64,malware,datadirectories[12],2417,0.2528102550367478,0.19662078604926156
Win64,malware,strings[99],618,0.1945298365122289,0.16874854442224782
Win64,malware,section[104],874,0.19192234604384567,0.13527836905174878
Win64,challenge,datadirectories[0],2405,0.9060783666885404,-0.007375364483467469
Win64,challenge,header[43],739,0.8066175198943325,0.29627320632455223
Win64,challenge,authenticode[6],2478,0.5938174777928414,0.09797766149447075
Win64,challenge,pefilewarnings[67],2547,0.4147092091591175,-0.3171770922929896
Win64,challenge,datadirectories[8],2413,0.2917190710469948,-0.0013026604788554971
Win64,challenge,header[10],706,0.27153462715114357,0.06851731309070157
Win64,challenge,header[28],724,0.25268340517116966,0.1516594863234035
